,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
56721,939626488078361481,https://www.airbnb.com/rooms/939626488078361481,347424501,100,f,Popincourt,48.853219,2.3904417,Entire home/apt,2,1.0,1.0,1.0,170.0,3,365,t,4,5.0,Fair,Paris 11ème
56724,938390308512137866,https://www.airbnb.com/rooms/938390308512137866,46614140,100,f,Passy,48.86223,2.28056,Entire home/apt,9,3.5,5.0,5.0,3300.0,4,365,t,1,5.0,Luxury,Paris 16ème
56736,939668464049504565,https://www.airbnb.com/rooms/939668464049504565,65440814,100,t,Vaugirard,48.8443637,2.294742,Entire home/apt,5,1.5,2.0,3.0,399.0,2,12,t,5,5.0,Premium,Paris 15ème
56762,939041648125263746,https://www.airbnb.com/rooms/939041648125263746,140286447,100,f,Entrepôt,48.87887,2.35422,Private room,2,1.0,1.0,1.0,110.0,4,15,t,4,5.0,Fair,Paris 10ème
56786,939716349396594189,https://www.airbnb.com/rooms/939716349396594189,295418467,100,f,Popincourt,48.86173757571731,2.368663139641285,Entire home/apt,2,1.0,0.0,1.0,95.0,2,6,t,6,5.0,Low-cost,Paris 11ème
56822,939754786180937859,https://www.airbnb.com/rooms/939754786180937859,5579159,100,f,Batignolles-Monceau,48.88749,2.28878,Entire home/apt,2,1.0,1.0,0.0,120.0,2,14,t,3,5.0,Fair,Paris 17ème
56825,940454338208429232,https://www.airbnb.com/rooms/940454338208429232,146996034,100,t,Entrepôt,48.87428825058408,2.3485120106599515,Entire home/apt,6,3.0,3.0,3.0,472.0,1,1125,t,1,5.0,Premium,Paris 10ème
56836,939772422515976759,https://www.airbnb.com/rooms/939772422515976759,125797498,99,f,Batignolles-Monceau,48.88233,2.28819,Entire home/apt,4,1.0,1.0,2.0,159.0,2,1125,t,9,5.0,Fair,Paris 17ème
56841,939219899164673461,https://www.airbnb.com/rooms/939219899164673461,519195595,100,f,Palais-Bourbon,48.85346116186804,2.308643928438622,Entire home/apt,1,1.0,1.0,2.0,171.0,3,365,t,1,5.0,Fair,Paris 7ème
56852,940514730941876173,https://www.airbnb.com/rooms/940514730941876173,525402772,100,t,Vaugirard,48.8388082,2.2933284,Entire home/apt,2,1.5,1.0,1.0,55.0,30,180,t,4,5.0,Low-cost,Paris 15ème
56858,940539724966035599,https://www.airbnb.com/rooms/940539724966035599,527081123,100,f,Passy,48.85276270436716,2.259777481813295,Entire home/apt,2,1.0,1.0,1.0,165.0,1,1125,t,1,5.0,Fair,Paris 16ème
56862,939805202558904850,https://www.airbnb.com/rooms/939805202558904850,55143121,100,f,Ménilmontant,48.86371399645894,2.39970176971599,Entire home/apt,4,1.0,1.0,2.0,320.0,2,30,t,1,5.0,Premium,Paris 20ème
56865,939515458730973655,https://www.airbnb.com/rooms/939515458730973655,523201550,100,f,Passy,48.849349152471945,2.2702868813541794,Entire home/apt,4,1.0,1.0,2.0,200.0,1,365,t,2,5.0,Fair,Paris 16ème
56872,939809655544682187,https://www.airbnb.com/rooms/939809655544682187,6360823,100,f,Ménilmontant,48.85413940000001,2.4048487,Entire home/apt,4,1.0,1.0,2.0,97.0,2,365,t,3,5.0,Low-cost,Paris 20ème
