id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom,experience,airbnb_monument,dep,adresse,nomcom,insee,name,category
1.1825993124190733e+18,https://www.airbnb.com/rooms/1182599312419073275,276818011.0,100.0,f,Panthéon,48.84005,2.3588295,Entire home/apt,2.0,1.0,0.0,2.0,72.0,4.0,365.0,t,4.0,5.0,Low-cost,Paris 5ème,Cultural,airbnb,,,,,airbnb,
1.182611197475822e+18,https://www.airbnb.com/rooms/1182611197475821982,7052101.0,100.0,f,Entrepôt,48.8718777,2.366508000000001,Entire home/apt,2.0,1.0,1.0,1.0,125.0,3.0,730.0,t,6.0,5.0,Fair,Paris 10ème,,airbnb,,,,,airbnb,
1.1820246913558659e+18,https://www.airbnb.com/rooms/1182024691355865963,37139861.0,100.0,t,Entrepôt,48.870783070997724,2.36255506884393,Entire home/apt,2.0,1.0,1.0,1.0,103.0,3.0,10.0,t,1.0,5.0,Fair,Paris 10ème,,airbnb,,,,,airbnb,
1.1823255501037622e+18,https://www.airbnb.com/rooms/1182325550103762119,49631122.0,100.0,f,Panthéon,48.84927829999999,2.3473759,Entire home/apt,2.0,1.0,1.0,1.0,180.0,2.0,120.0,t,1.0,5.0,Fair,Paris 5ème,Cultural,airbnb,,,,,airbnb,
1.1826468056968374e+18,https://www.airbnb.com/rooms/1182646805696837458,485950028.0,99.0,f,Panthéon,48.83880749999999,2.3494078,Entire home/apt,4.0,1.0,2.0,2.0,250.0,2.0,365.0,t,1.0,5.0,Premium,Paris 5ème,Cultural,airbnb,,,,,airbnb,
1.1823555797914831e+18,https://www.airbnb.com/rooms/1182355579791483054,460047164.0,99.0,f,Opéra,48.87291,2.33342,Entire home/apt,2.0,1.0,1.0,1.0,71.0,30.0,1125.0,t,1.0,5.0,Low-cost,Paris 9ème,,airbnb,,,,,airbnb,
1.183231259667265e+18,https://www.airbnb.com/rooms/1183231259667265105,82807442.0,99.0,f,Opéra,48.87946755200311,2.34001593368482,Entire home/apt,1.0,1.0,1.0,1.0,59.0,3.0,365.0,t,5.0,5.0,Low-cost,Paris 9ème,,airbnb,,,,,airbnb,
1.1830774421491218e+18,https://www.airbnb.com/rooms/1183077442149121830,18218401.0,100.0,f,Passy,48.851257434205706,2.2739857171966493,Entire home/apt,4.0,1.0,1.0,2.0,147.0,2.0,28.0,t,1.0,5.0,Fair,Paris 16ème,Cultural,airbnb,,,,,airbnb,
1.1832630004065718e+18,https://www.airbnb.com/rooms/1183263000406571872,106154181.0,100.0,f,Buttes-Montmartre,48.88315417592038,2.338360548019409,Entire home/apt,2.0,1.0,1.0,1.0,54.0,30.0,300.0,t,1.0,5.0,Low-cost,Paris 18ème,Bohemian,airbnb,,,,,airbnb,
1.182488700408867e+18,https://www.airbnb.com/rooms/1182488700408867116,515859518.0,100.0,f,Buttes-Chaumont,48.87592,2.39598,Entire home/apt,7.0,2.0,3.0,5.0,199.0,2.0,365.0,t,5.0,5.0,Fair,Paris 19ème,Nightlife,airbnb,,,,,airbnb,
1.183114159827672e+18,https://www.airbnb.com/rooms/1183114159827672169,587691.0,100.0,f,Vaugirard,48.83319131379047,2.299749478697777,Entire home/apt,5.0,1.0,2.0,3.0,174.0,31.0,150.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.182511426800116e+18,https://www.airbnb.com/rooms/1182511426800115864,459506025.0,100.0,f,Reuilly,48.83503913731884,2.397408659524536,Entire home/apt,4.0,1.0,1.0,2.0,90.0,2.0,10.0,t,1.0,5.0,Low-cost,Paris 12ème,,airbnb,,,,,airbnb,
1.1825128660359636e+18,https://www.airbnb.com/rooms/1182512866035963654,583080029.0,100.0,f,Vaugirard,48.83717,2.28415,Entire home/apt,2.0,1.0,1.0,2.0,127.0,1.0,1125.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
